GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.riego,UnitOfMeasure,0,15,0,0,0,3,0,1,0,1
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.riego,Irrigation,329,67,71,1,1,13,41,18,5,18
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.riego,WaterSource,159,29,30,0,2,6,22,7,7,7
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.riego,Task,323,62,74,2,5,13,44,17,6,17
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.riego,Precipitation,222,35,46,0,2,6,29,10,6,10
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.riego,Maintenance,304,3,56,0,11,1,46,1,18,1
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.riego,IrrigationEquipment,328,53,62,0,6,8,43,12,12,12
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.riego,TaskStatus,0,27,0,0,0,5,0,1,0,1
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.riego,EnergyConsumption,253,3,46,0,7,1,38,1,15,1
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.riego,Fertilization,309,42,64,0,6,7,41,12,9,12
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.riego,Farm,288,195,49,13,6,18,41,24,16,18
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.riego,ReservoirTurn,185,28,38,0,2,5,25,8,6,8
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.riego,HumidityAlert,297,3,54,0,8,1,44,1,17,1
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.riego,HumiditySensor,236,40,46,0,3,7,31,10,8,10
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.auth,JwtService,3,152,2,4,2,34,2,12,0,11
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.auth,UserService,516,522,19,17,89,94,31,17,21,9
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.auth,JpaUserDetailsService,0,21,0,0,0,3,0,3,0,3
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.auth,AuthService,0,260,0,8,0,51,0,9,0,5
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.admin,AdminDashboardController,7,6,0,0,2,1,1,1,1,1
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.admin,AdminUserController,159,10,0,0,34,2,10,2,10,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.sync,MobileSyncController,191,10,2,0,38,2,8,2,7,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.audit,Synchronization,251,3,46,0,7,1,38,1,15,1
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.audit,ChangeHistory,381,3,70,0,10,1,56,1,21,1
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.geocoding,GeocodingResponse.Result,76,0,14,0,2,0,14,0,7,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.geocoding,GeocodingResponse.Geometry,117,0,22,0,3,0,20,0,9,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.geocoding,GeocodingResponse,76,0,14,0,2,0,14,0,7,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.sync,MobileSyncService,1087,390,69,21,205,72,52,10,12,5
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.config,ConfigType,0,33,0,0,0,6,0,1,0,1
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.config,SystemConfig,193,18,38,0,5,2,31,2,12,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,WaterSourceResponse,219,0,40,0,13,0,34,0,14,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,PrecipitationSummaryResponse,214,0,38,0,7,0,33,0,14,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,IrrigationRequest,248,31,54,0,2,5,35,9,8,9
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,HumiditySensorRequest,133,24,30,0,0,4,19,7,4,7
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,EnergyConsumptionRequest,157,0,30,0,4,0,26,0,11,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,SectorResponse,312,0,58,0,18,0,47,0,18,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,HumidityAlertResponse,549,0,100,0,29,0,78,0,28,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,TaskRequest,155,0,30,0,4,0,26,0,11,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,WaterSourceRequest,65,10,14,0,0,2,11,3,4,3
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,OperationLogRequest,156,0,30,0,4,0,26,0,11,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,PrecipitationResponse,310,0,56,0,17,0,46,0,18,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,TaskResponse,451,92,98,4,4,25,69,9,18,9
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,FarmResponse,298,52,62,0,2,16,43,8,12,8
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,SectorHistoryEntryDTO,255,0,46,0,8,0,39,0,16,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,EnergyConsumptionResponse,309,0,56,0,17,0,46,0,18,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,ReservoirTurnResponse,361,0,66,0,20,0,53,0,20,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,HumiditySensorResponse,405,0,74,0,22,0,59,0,22,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,FertilizationRequest,200,38,46,0,0,6,27,11,4,11
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,SectorRequest,98,17,22,0,0,3,15,5,4,5
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,MaintenanceRequest,157,0,30,0,4,0,26,0,11,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,HumidityAlertRequest,198,0,38,0,5,0,32,0,13,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,OperationLogResponse,308,0,56,0,17,0,46,0,18,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,IrrigationEquipmentResponse,396,0,72,0,21,0,58,0,22,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,IrrigationResponse,589,0,108,0,31,0,84,0,30,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,FertilizationResponse,495,0,90,0,26,0,71,0,26,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,PrecipitationRequest,100,17,22,0,0,3,15,5,4,5
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,MaintenanceResponse,450,0,82,0,24,0,65,0,24,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,TaskStatusUpdateRequest,76,0,14,0,2,0,14,0,7,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,IrrigationEquipmentRequest,236,0,46,0,6,0,38,0,15,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,FarmRequest,234,45,54,0,0,7,31,13,4,13
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.riego,ReservoirTurnRequest,100,17,22,0,0,3,15,5,4,5
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.user,SelfPasswordUpdateRequest,155,0,30,0,4,0,26,0,11,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.user,UserStatusUpdateRequest,75,0,14,0,3,0,14,0,7,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.user,AdminPasswordUpdateRequest,75,0,14,0,2,0,14,0,7,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.user,UserResponse,340,0,60,0,18,0,50,0,20,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.user,UserUpdateRequest,115,0,22,0,4,0,20,0,9,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.report,ReportDataService,53,677,14,16,5,149,17,9,4,7
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.report,ReportTaskService,755,28,48,0,128,2,32,2,7,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.report,ExcelReportService,28,448,2,26,5,114,2,23,0,11
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.report,PdfReportService,27,242,2,14,3,55,2,13,0,7
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.report,ReportFileService,239,3,12,0,37,1,9,1,3,1
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.config,SystemConfigService.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.config,SystemConfigService,581,16,20,0,106,2,31,2,21,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.notification,AppNotification,364,66,76,0,5,11,45,18,7,18
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.notification,NotificationType,0,21,0,0,0,4,0,1,0,1
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.audit,ChangeHistoryResponse,440,0,80,0,23,0,64,0,24,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.audit,SynchronizationStatusUpdateRequest,75,0,14,0,2,0,14,0,7,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.audit,BatchSyncRequest,116,0,22,0,3,0,20,0,9,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.audit,SynchronizationRecordResponse,259,0,46,0,14,0,39,0,16,0
